2025-06-05 09:54:28,447 - INFO - Aircraft model: f16
2025-06-05 09:54:28,447 - INFO - Simulation time: 100 seconds
2025-06-05 09:54:28,447 - INFO - Time step: 0.1 seconds
2025-06-05 09:54:28,447 - INFO - initial fuel: 3000.0
2025-06-05 09:54:28,448 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5091.319168213762, 'u': 487.2593749079551, 'v': 0.007953771230612156, 'w': 4.559001573228997, 'phi': -0.0007798664593457812, 'theta': 8.970576860618506, 'psi': 180.0004824791612, 'p': -0.001595829060333444, 'q': -1.397176421618303, 'r': 0.0008291957402226794, 'time': 1.0999999999999999, 'x-dist': 534.86048304611, 'y-dist': 0.007162302635496943, 'x': np.float64(-0.0071632630798567016), 'y': -534.9330830502225, 'z': 5091.319168214081, 'alpha': 0.5360675246448016, 'beta': 0.0009352258779016331, 'alphadot': 0.6874120323285013, 'betadot': 0.0002916083968997689, 'gamma': 8.43450934760286}
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5098.374376196434, 'u': 486.18174780836034, 'v': 0.00807801829054256, 'w': 5.065678315521595, 'phi': -0.0009261392013451966, 'theta': 8.830992010540262, 'psi': 180.00056800514244, 'p': -0.0014850448017193596, 'q': -1.4058068174416063, 'r': 0.0008426157991269437, 'time': 1.2, 'x-dist': 583.0024466573527, 'y-dist': 0.008412195450108849, 'x': np.float64(-0.008413323502300882), 'y': -583.0815825997307, 'z': 5098.374376194134, 'alpha': 0.5969608829564016, 'beta': 0.0009519304987115682, 'alphadot': 0.6317942620006349, 'betadot': 0.0001800898167759476, 'gamma': 8.234031141880534}
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5105.247297219932, 'u': 485.11726420389545, 'v': 0.008160283454130944, 'w': 5.535620874310268, 'phi': -0.0010612842784332537, 'theta': 8.690543898330224, 'psi': 180.00065521548362, 'p': -0.001284728422237895, 'q': -1.4305697261856296, 'r': 0.0008104294141202546, 'time': 1.3, 'x-dist': 631.063132286092, 'y-dist': 0.009746458233462001, 'x': np.float64(-0.00974776520674401), 'y': -631.1487933156772, 'z': 5105.247297221683, 'alpha': 0.6537675972112623, 'beta': 0.0009637244425361945, 'alphadot': 0.5881454154097094, 'betadot': 0.00013093067675761446, 'gamma': 8.036776317907593}
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5111.941320072875, 'u': 484.0658920758975, 'v': 0.008235228487423946, 'w': 5.959387370120652, 'phi': -0.0011770510102113404, 'theta': 8.547619275830758, 'psi': 180.0007394885028, 'p': -0.0011847418381254785, 'q': -1.471608041590365, 'r': 0.0007762178741477266, 'time': 1.4000000000000001, 'x-dist': 679.0427996722799, 'y-dist': 0.011161670767237104, 'x': np.float64(-0.011163167517017063), 'y': -679.134974965014, 'z': 5111.941320071614, 'alpha': 0.7053388838689717, 'beta': 0.0009746773947003256, 'alphadot': 0.5331186185596911, 'betadot': 0.00012442046328271236, 'gamma': 7.842280410956235}
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5118.45934783296, 'u': 483.02752202180284, 'v': 0.00830203803003421, 'w': 6.327866368563555, 'phi': -0.0012834912513833893, 'theta': 8.400590605975989, 'psi': 180.0008206249676, 'p': -0.0012583123944589945, 'q': -1.515439493457858, 'r': 0.0007736122551612878, 'time': 1.5000000000000002, 'x-dist': 726.9417587406908, 'y-dist': 0.012653954150347613, 'x': np.float64(-0.01265565101320382), 'y': -727.040437506457, 'z': 5118.459347840224, 'alpha': 0.7505561916380924, 'beta': 0.0009846870133289256, 'alphadot': 0.4667657817063563, 'betadot': 0.00011635922096341369, 'gamma': 7.650034435406765}
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5124.803815767152, 'u': 482.00213271588586, 'v': 0.008335331419457971, 'w': 6.643092423026246, 'phi': -0.0013974851970277853, 'theta': 8.24917857706013, 'psi': 180.00090184045635, 'p': -0.0014285937061727526, 'q': -1.5497081192952795, 'r': 0.0008028674479822984, 'time': 1.6000000000000003, 'x-dist': 774.7603851683641, 'y-dist': 0.01421962564556163, 'x': np.float64(-0.014221532460489105), 'y': -774.8655566599946, 'z': 5124.803815765904, 'alpha': 0.7896169660212958, 'beta': 0.0009907299713657037, 'alphadot': 0.4024776998777638, 'betadot': 7.597967048159606e-05, 'gamma': 7.459561634270441}
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5130.97678524628, 'u': 480.9898054613447, 'v': 0.008312499257079933, 'w': 6.91662573553284, 'phi': -0.00152824887093836, 'theta': 8.094339471711526, 'psi': 180.00098638270492, 'p': -0.0015557025289786018, 'q': -1.5713248068811307, 'r': 0.0008373195399393592, 'time': 1.7000000000000004, 'x-dist': 822.499135961722, 'y-dist': 0.015855650034249356, 'x': np.float64(-0.015857776237198192), 'y': -822.6107894861324, 'z': 5130.976785241185, 'alpha': 0.8238556125279682, 'beta': 0.0009900872829467916, 'alphadot': 0.3519522444383505, 'betadot': 6.7118129602463335e-06, 'gamma': 7.270483884742066}
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5136.980053976211, 'u': 479.9906559083043, 'v': 0.008233394582340995, 'w': 7.161606039040613, 'phi': -0.0016714114556962245, 'theta': 7.937338483160343, 'psi': 180.00107479840744, 'p': -0.001554710085255831, 'q': -1.5851260925232713, 'r': 0.0008490524908151772, 'time': 1.8000000000000005, 'x-dist': 870.1585463299017, 'y-dist': 0.017559578250563826, 'x': np.float64(-0.017561932947941127), 'y': -870.2766712587779, 'z': 5136.980053978558, 'alpha': 0.8548069655209584, 'beta': 0.0009826988408636898, 'alphadot': 0.31732672615733465, 'betadot': -6.318276664039043e-05, 'gamma': 7.082531545565905}
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5142.8152310960195, 'u': 479.00476482001005, 'v': 0.008118837590314794, 'w': 7.386411291346647, 'phi': -0.001814500098011963, 'theta': 7.778957151820647, 'psi': 180.001164797983, 'p': -0.0014490323007406917, 'q': -1.597739329781568, 'r': 0.0008304434164777244, 'time': 1.9000000000000006, 'x-dist': 917.7392103467023, 'y-dist': 0.019329115570609783, 'x': np.float64(-0.019331707561877166), 'y': -917.8637961245862, 'z': 5142.815231092035, 'alpha': 0.8834497776250191, 'beta': 0.0009710129548956952, 'alphadot': 0.29293628385199505, 'betadot': -0.00010719663474188493, 'gamma': 6.895507404332713}
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5148.4837653040795, 'u': 478.0321532198056, 'v': 0.00799329288790042, 'w': 7.593583019447536, 'phi': -0.0019474689417981429, 'theta': 7.6193142840001515, 'psi': 180.0012533079255, 'p': -0.0013316996075777093, 'q': -1.6126866005999387, 'r': 0.0007960602173670247, 'time': 2.0000000000000004, 'x-dist': 965.2417588488028, 'y-dist': 0.021161715730939137, 'x': np.float64(-0.021164553470091215), 'y': -965.3727949981592, 'z': 5148.4837653063905, 'alpha': 0.9100719805776509, 'beta': 0.0009579359296665105, 'alphadot': 0.2716679625219182, 'betadot': -0.00012061979275693326, 'gamma': 6.709242335500169}
