2025-06-05 09:48:17,206 - INFO - Aircraft model: f16
2025-06-05 09:48:17,206 - INFO - Simulation time: 100 seconds
2025-06-05 09:48:17,206 - INFO - Time step: 0.1 seconds
2025-06-05 09:48:17,207 - INFO - initial fuel: 3000.0
2025-06-05 09:48:17,209 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5562.839093096574, 'u': 533.0083677318254, 'v': -15.463545143988632, 'w': -15.45725491453021, 'phi': -39.39113767035589, 'theta': -64.51592578201114, 'psi': 209.29262391119664, 'p': -1.4874786606044357, 'q': -0.32005456889875467, 'r': -2.0372308814893803, 'time': 1.0999999999999999, 'x-dist': 237.50068426862575, 'y-dist': 102.04004749266555, 'x': np.float64(-102.05373073935101), 'y': -237.53295779576658, 'z': 5562.8390930961905, 'alpha': -1.6611133609311686, 'beta': -1.6610910096746296, 'alphadot': 0.9691930260035908, 'betadot': 2.7113259534433927, 'gamma': -64.1878420719646}
2025-06-05 09:48:17,209 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5514.717163603754, 'u': 534.8507940583454, 'v': -14.371694792808984, 'w': -15.672419655944168, 'phi': -39.250766109212115, 'theta': -64.66971340824126, 'psi': 208.97255035194132, 'p': -7.047403659243091, 'q': -0.43723560277231593, 'r': -0.0057604684936087966, 'time': 1.2, 'x-dist': 258.7470723883985, 'y-dist': 111.42019189145266, 'x': np.float64(-111.43513298709769), 'y': -258.7822290391664, 'z': 5514.71716360641, 'alpha': -1.6784244068780818, 'beta': -1.5385343698490654, 'alphadot': 0.07689827043244377, 'betadot': 1.245184669743367, 'gamma': -64.25162767343357}
2025-06-05 09:48:17,209 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5466.420301269741, 'u': 536.8583942987841, 'v': -14.750249992150557, 'w': -15.231175350941811, 'phi': -40.01350657569128, 'theta': -64.7036883701974, 'psi': 209.03672348901628, 'p': -5.21516609284831, 'q': -0.4944988722670825, 'r': 0.6238238482841554, 'time': 1.3, 'x-dist': 280.05530100302843, 'y-dist': 120.76971177511295, 'x': np.float64(-120.78590661342429), 'y': -280.0933485047876, 'z': 5466.420301268984, 'alpha': -1.6250989895947299, 'beta': -1.5731799209003534, 'alphadot': 0.29479933848622697, 'betadot': -0.42549643360254663, 'gamma': -64.37856350955684}
2025-06-05 09:48:17,210 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5417.841833282249, 'u': 538.9630550580054, 'v': -15.524635148160797, 'w': -14.459941476009675, 'phi': -40.70332592438713, 'theta': -64.70090786708943, 'psi': 209.22288517684504, 'p': 2.286323044177222, 'q': -0.4651137002795732, 'r': -0.6242019262598683, 'time': 1.4000000000000001, 'x-dist': 301.2562682293163, 'y-dist': 130.17812161670477, 'x': np.float64(-130.19557809501458), 'y': -301.2971913215468, 'z': 5417.841833285888, 'alpha': -1.536830608145026, 'beta': -1.6493347462453514, 'alphadot': 0.6797664562837784, 'betadot': -0.869108491331259, 'gamma': -64.51872618199441}
2025-06-05 09:48:17,210 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5369.021216791121, 'u': 541.2117382220949, 'v': -15.318803718016369, 'w': -13.131146726191531, 'phi': -40.43830633825224, 'theta': -64.77677224959497, 'psi': 209.1826525377579, 'p': 8.568035327834798, 'q': -0.37599595112816864, 'r': -2.519577217269534, 'time': 1.5000000000000002, 'x-dist': 322.4143381040664, 'y-dist': 139.643192769521, 'x': np.float64(-139.66191848633923), 'y': -322.4581302718944, 'z': 5369.021216786995, 'alpha': -1.389865844495858, 'beta': -1.620826826485966, 'alphadot': 1.2772381066637004, 'betadot': 0.23395138491952971, 'gamma': -64.68635673528068}
2025-06-05 09:48:17,210 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5319.920527402298, 'u': 543.2749162338482, 'v': -13.720386482092401, 'w': -12.616938560963092, 'phi': -39.22032920032564, 'theta': -64.96696097052103, 'psi': 208.78370999566914, 'p': 7.831589059768078, 'q': -0.3651724466331253, 'r': -3.2471722782777896, 'time': 1.6000000000000003, 'x-dist': 343.48066795564694, 'y-dist': 149.15798050949644, 'x': np.float64(-149.1779821320943), 'y': -343.52731604375623, 'z': 5319.9205274075075, 'alpha': -1.3303898009534498, 'beta': -1.4463053075863392, 'alphadot': 0.9125726879532198, 'betadot': 1.8066079772698431, 'gamma': -64.77961828175039}
2025-06-05 09:48:17,210 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5270.653274945924, 'u': 545.2264905425193, 'v': -11.685003651229348, 'w': -12.583929402644742, 'phi': -37.93978159557886, 'theta': -65.19793879002324, 'psi': 208.23526022696493, 'p': 0.6705296804653634, 'q': -0.47563159560124957, 'r': -2.0587190694852535, 'time': 1.7000000000000004, 'x-dist': 364.64187332945204, 'y-dist': 158.61675584448727, 'x': np.float64(-158.6380258622569), 'y': -364.69138953577607, 'z': 5270.653274945973, 'alpha': -1.3221625735784126, 'beta': -1.227417895581309, 'alphadot': 0.3549702798956649, 'betadot': 2.304079335685972, 'gamma': -64.85095565024888}
2025-06-05 09:48:17,210 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5221.181688651438, 'u': 547.02362552828, 'v': -10.641841837359465, 'w': -13.245392128993245, 'phi': -37.5824548042641, 'theta': -65.36154747995589, 'psi': 207.91570462334067, 'p': -6.293131282558121, 'q': -0.60080077800671, 'r': 0.0126921040035449, 'time': 1.8000000000000005, 'x-dist': 385.83881249697487, 'y-dist': 168.01971771839598, 'x': np.float64(-168.0422486474258), 'y': -385.8912009766773, 'z': 5221.181688652852, 'alpha': -1.3870640484425736, 'beta': -1.1141696564730286, 'alphadot': -0.4063539734429618, 'betadot': 1.1827211053031312, 'gamma': -64.88621579090619}
2025-06-05 09:48:17,211 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5171.548692304653, 'u': 548.9995779059079, 'v': -11.16549735606133, 'w': -13.162135896816807, 'phi': -38.29455456979744, 'theta': -65.40808424376355, 'psi': 208.00677541290645, 'p': -6.433217931904708, 'q': -0.6500171959374351, 'r': 1.0527752257748, 'time': 1.9000000000000006, 'x-dist': 407.1287044453714, 'y-dist': 177.36984789470574, 'x': np.float64(-177.39363265097052), 'y': -407.1839771215187, 'z': 5171.548692306203, 'alpha': -1.3733897563119855, 'beta': -1.1647804772778056, 'alphadot': -0.12637034850710313, 'betadot': -0.5670092036429225, 'gamma': -64.99374027696678}
2025-06-05 09:48:17,211 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5121.63923289999, 'u': 551.0685834982119, 'v': -12.380354283477235, 'w': -12.752402406544263, 'phi': -39.206054542305516, 'theta': -65.3928165860511, 'psi': 208.30173261935835, 'p': 0.635135363651898, 'q': -0.59099565871447, 'r': 0.054467256217131124, 'time': 2.0000000000000004, 'x-dist': 428.3229517849977, 'y-dist': 186.76256334955448, 'x': np.float64(-186.78760764415065), 'y': -428.3810949556429, 'z': 5121.639232903997, 'alpha': -1.3256579557190271, 'beta': -1.2866510733194139, 'alphadot': 0.2585911840877047, 'betadot': -1.3339331243176642, 'gamma': -65.1156274007983}
