#{"t_start": 1749140493.2645142, "env_id": "None"}
r,l,t,terminated,truncated,episode_count
-338.693258,236,58.033136,True,False,167
-205.646191,374,58.292235,True,False,168
-323.236276,169,58.409121,True,False,169
-296.62186,342,59.579837,True,False,170
-263.231532,328,59.806522,True,False,171
-411.76346,126,59.896775,True,False,172
-465.418986,188,60.034113,True,False,173
-486.428309,298,60.241461,True,False,174
-299.631199,106,60.320138,True,False,175
-307.722648,179,60.448554,True,False,176
-410.003211,160,60.5616,True,False,177
-251.610054,307,60.774621,True,False,178
-240.578769,337,61.950367,True,False,179
-304.036982,310,62.168208,True,False,180
122.04514,470,62.52778,True,False,181
-227.683192,314,62.742896,True,False,182
-416.991194,198,62.883983,True,False,183
-344.088105,202,63.026536,True,False,184
-510.597866,224,63.18154,True,False,185
-274.792507,288,63.38745,True,False,186
-246.536019,304,64.503993,True,False,187
-339.910029,338,64.744596,True,False,188
-262.119317,322,64.998297,True,False,189
-346.089389,102,65.103578,True,False,190
-472.164736,264,65.290921,True,False,191
-225.623519,325,65.518727,True,False,192
-317.090964,129,65.609755,True,False,193
-276.556209,280,66.727189,True,False,194
-309.463203,249,66.90276,True,False,195
-77.389335,374,67.164687,True,False,196
-311.200919,246,67.339078,True,False,197
-32.746535,442,67.652331,True,False,198
-215.724829,363,67.908636,True,False,199
-281.865585,87,68.084917,True,False,200
-371.495218,180,68.236373,True,False,201
-265.468138,82,68.295853,True,False,202
-330.810173,208,69.453802,True,False,203
-399.346068,248,69.629786,True,False,204
-266.743037,262,69.817168,True,False,205
-284.223483,317,70.048488,True,False,206
-362.077455,254,70.255996,True,False,207
-414.034197,160,70.372021,True,False,208
-351.100256,195,70.514945,True,False,209
-350.743158,113,70.595778,True,False,210
-352.086896,267,70.787967,True,False,211
-360.813654,242,71.888097,True,False,212
-473.836722,248,72.067161,True,False,213
-283.471081,310,72.303054,True,False,214
-280.742632,263,72.496582,True,False,215
-110.370688,345,72.739755,True,False,216
-173.338242,321,72.962384,True,False,217
-431.622932,155,73.068401,True,False,218
-455.945829,250,74.179349,True,False,219
-225.804417,291,74.385524,True,False,220
-338.321051,141,74.486198,True,False,221
220.816335,477,74.821702,True,False,222
-290.002335,281,75.023866,True,False,223
-309.852639,114,75.105685,True,False,224
-265.964055,245,75.281506,True,False,225
-302.63797,242,75.454361,True,False,226
-373.470307,186,75.583536,True,False,227
-349.575913,196,76.650804,True,False,228
-330.517525,199,76.795676,True,False,229
-300.528574,295,77.008237,True,False,230
-88.141805,433,77.321153,True,False,231
-232.538457,315,77.549076,True,False,232
-463.088613,276,77.746792,True,False,233
-350.570012,103,77.820806,True,False,234
-411.689522,204,77.970073,True,False,235
-68.949772,366,79.170074,True,False,236
-464.972646,234,79.374477,True,False,237
-203.254229,338,79.617271,True,False,238
-110.606388,346,79.883384,True,False,239
-443.566898,193,80.02648,True,False,240
-331.445577,100,80.099459,True,False,241
-209.583763,336,80.380803,True,False,242
-505.220388,197,81.449559,True,False,243
-190.424003,317,81.673341,True,False,244
-417.253892,179,81.833984,True,False,245
-451.061236,184,81.98224,True,False,246
-556.278142,167,82.135339,True,False,247
-230.014687,328,82.373589,True,False,248
-248.678995,283,82.580038,True,False,249
-343.906308,113,82.6621,True,False,250
-327.892196,218,82.819075,True,False,251
-97.559432,349,84.059769,True,False,252
66.804714,408,84.358004,True,False,253
-461.231372,225,84.517042,True,False,254
-333.520626,218,84.672026,True,False,255
-333.10519,131,84.764375,True,False,256
-190.785969,296,84.978802,True,False,257
-78.971304,364,85.239663,True,False,258
-412.961032,210,85.391989,True,False,259
-386.00456,181,86.431011,True,False,260
-261.204039,365,86.692994,True,False,261
-322.994101,158,86.804434,True,False,262
-348.782333,249,86.983694,True,False,263
-258.18867,322,87.212562,True,False,264
-26.758622,406,87.507574,True,False,265
-403.165864,194,87.645087,True,False,266
-342.772115,127,87.734471,True,False,267
-329.067968,224,88.783983,True,False,268
-262.345789,298,89.004182,True,False,269
-444.320719,188,89.138337,True,False,270
-295.280062,199,89.279398,True,False,271
178.390956,450,89.600085,True,False,272
-306.710462,99,89.670135,True,False,273
-209.562614,331,89.904089,True,False,274
-283.800156,95,89.97351,True,False,275
-338.140648,280,90.180233,True,False,276
-362.661338,139,91.207444,True,False,277
-321.34063,158,91.321706,True,False,278
-317.146168,225,91.481522,True,False,279
-411.334313,296,91.689449,True,False,280
-309.781191,157,91.800589,True,False,281
-414.556396,242,91.975031,True,False,282
-427.728273,162,92.088219,True,False,283
-412.950088,182,92.216546,True,False,284
-250.708376,315,92.439631,True,False,285
-386.164483,387,93.672082,True,False,286
-286.428704,269,93.863283,True,False,287
-320.943279,157,93.979152,True,False,288
-355.604877,216,94.1655,True,False,289
-212.943524,270,94.36144,True,False,290
-277.999546,255,94.572072,True,False,291
-202.86709,310,94.789254,True,False,292
-376.657144,154,94.904548,True,False,293
-209.610204,308,96.043473,True,False,294
-169.482348,332,96.278083,True,False,295
-290.630907,116,96.368478,True,False,296
252.133419,469,96.702262,True,False,297
-294.244097,156,96.812109,True,False,298
-85.633961,343,97.055844,True,False,299
-350.417602,231,98.007711,True,False,300
-416.395016,264,98.21352,True,False,301
-424.156825,223,99.521873,True,False,302
-33.037716,363,99.803517,True,False,303
-245.916385,243,99.979388,True,False,304
-411.491536,213,100.133365,True,False,305
-401.97683,267,100.326719,True,False,306
-344.363606,191,100.465575,True,False,307
-141.603527,311,100.692812,True,False,308
-185.722009,320,101.838893,True,False,309
72.972404,427,102.139951,True,False,310
-429.51855,235,102.30893,True,False,311
-80.010033,342,102.554422,True,False,312
-344.766712,155,102.663271,True,False,313
-32.920126,359,102.918091,True,False,314
-293.324181,213,103.069478,True,False,315
-389.014267,296,103.276302,True,False,316
-88.430908,344,104.548308,True,False,317
