r,l,t,terminated,truncated,episode_count
39.077374,434,56.879473,True,False,168
-368.359728,151,57.910043,True,False,169
-493.027214,224,58.071576,True,False,170
-82.132457,406,58.368185,True,False,171
28.549941,458,58.700426,True,False,172
-66.947856,429,59.010873,True,False,173
-325.075196,116,59.09456,True,False,174
-392.929892,275,59.293898,True,False,175
-137.473492,379,60.463408,True,False,176
-132.779557,398,60.749076,True,False,177
-68.223243,432,61.059917,True,False,178
-342.534751,231,61.224776,True,False,179
-117.621897,403,61.514769,True,False,180
-428.619974,174,61.639514,True,False,181
-321.334783,268,62.732584,True,False,182
-223.213645,352,62.99025,True,False,183
-416.976539,183,63.122364,True,False,184
-440.306528,163,63.241175,True,False,185
-126.118385,381,63.513231,True,False,186
-272.916669,305,63.733173,True,False,187
-415.528953,135,63.831318,True,False,188
-346.840249,402,65.00569,True,False,189
-79.341948,388,65.287101,True,False,190
-89.845839,407,65.591733,True,False,191
-289.943136,323,65.827927,True,False,192
56.928406,443,66.152762,True,False,193
-81.347151,421,67.359593,True,False,194
-330.485351,162,67.475928,True,False,195
-57.216204,420,67.779415,True,False,196
-366.040291,171,67.906319,True,False,197
-101.169457,380,68.172043,True,False,198
-433.937957,165,68.293705,True,False,199
57.970937,462,70.51083,True,False,200
-225.120463,375,71.792434,True,False,201
-262.643544,334,72.093446,True,False,202
-289.769455,94,72.162666,True,False,203
-378.800151,116,72.248391,True,False,204
-193.691571,348,72.501474,True,False,205
-406.03663,209,72.669762,True,False,206
-352.515351,192,72.808495,True,False,207
-189.851446,387,73.092125,True,False,208
-116.905153,376,74.279583,True,False,209
-417.834699,127,74.394355,True,False,210
-278.430479,314,74.610503,True,False,211
-379.334404,193,74.746798,True,False,212
-329.437859,311,74.962509,True,False,213
-344.205339,166,75.079243,True,False,214
-178.96334,351,75.326353,True,False,215
-420.743118,125,75.415197,True,False,216
-388.441533,216,75.566987,True,False,217
-432.081872,146,76.56912,True,False,218
-338.894938,293,76.829709,True,False,219
-126.437207,364,77.092726,True,False,220
-540.111832,174,77.222342,True,False,221
-360.625061,126,77.3436,True,False,222
-228.684068,338,77.712663,True,False,223
-136.888796,383,78.010105,True,False,224
-381.071479,237,78.205431,True,False,225
-395.223167,177,79.405668,True,False,226
162.448996,473,79.806602,True,False,227
-303.837195,325,80.054496,True,False,228
-134.013345,349,80.305794,True,False,229
-73.631849,392,80.582714,True,False,230
-319.834798,186,80.710071,True,False,231
-202.938966,354,81.864206,True,False,232
-365.598049,221,82.021372,True,False,233
-256.941223,275,82.216041,True,False,234
-341.523934,178,82.341469,True,False,235
-399.952086,144,82.443137,True,False,236
