#{"t_start": 1749135669.2434473, "env_id": "None"}
r,l,t,terminated,truncated,episode_count
-382.64871,161,54.79617,True,False,167
-441.615922,136,54.895288,True,False,168
-310.967448,93,54.962963,True,False,169
-427.383678,213,55.116318,True,False,170
-266.610442,339,55.3679,True,False,171
-342.405351,116,55.45084,True,False,172
-420.431807,138,55.549612,True,False,173
-260.140028,353,55.804594,True,False,174
-282.292246,50,56.729098,True,False,175
-256.594193,331,56.968328,True,False,176
-376.150957,146,57.071684,True,False,177
-201.535385,380,57.341869,True,False,178
-213.403503,359,57.599948,True,False,179
-242.497772,338,57.840832,True,False,180
-342.787842,318,58.072827,True,False,181
-103.26013,422,59.297933,True,False,182
-293.596859,387,59.579936,True,False,183
-378.050455,286,59.78753,True,False,184
-375.262643,235,59.958679,True,False,185
-231.974879,343,60.203526,True,False,186
-317.384076,249,60.382208,True,False,187
-363.159496,223,60.542193,True,False,188
-468.535042,216,61.634894,True,False,189
-276.410254,327,61.86769,True,False,190
-317.055638,235,62.032119,True,False,191
-133.135749,391,62.309505,True,False,192
-301.660199,308,62.523812,True,False,193
-374.176439,244,62.697296,True,False,194
-80.468861,410,63.951124,True,False,195
965.03472,753,64.520417,True,False,196
-368.122399,211,64.674158,True,False,197
-97.441265,424,65.013022,True,False,198
-344.921917,266,65.228626,True,False,199
83.348525,507,69.078888,True,False,200
-444.54627,249,69.290776,True,False,201
-102.658882,419,69.602036,True,False,202
-70.794456,522,69.982888,True,False,203
-372.008059,296,70.195651,True,False,204
-286.244011,269,70.396619,True,False,205
-431.830937,127,70.487,True,False,206
-458.893942,248,71.561866,True,False,207
-348.850785,435,71.880039,True,False,208
-383.242489,199,72.027193,True,False,209
-386.277872,259,72.213409,True,False,210
-482.61211,231,72.380045,True,False,211
-333.37602,330,72.617773,True,False,212
-343.928109,121,72.704727,True,False,213
-357.175282,104,72.779686,True,False,214
-292.892101,333,73.958269,True,False,215
-389.245821,175,74.083303,True,False,216
-218.051782,348,74.341872,True,False,217
-367.552015,279,74.541714,True,False,218
-364.989315,172,74.694648,True,False,219
-414.655729,280,74.897386,True,False,220
-179.656009,380,75.167891,True,False,221
-361.943262,170,75.288325,True,False,222
-398.870318,156,76.330063,True,False,223
-363.408371,307,76.545788,True,False,224
-407.569754,320,76.77448,True,False,225
-355.773364,258,76.962298,True,False,226
-456.550832,190,77.098323,True,False,227
-358.867048,140,77.200249,True,False,228
-480.04711,337,77.439643,True,False,229
-387.258817,267,77.625581,True,False,230
-403.057699,140,78.651173,True,False,231
-338.120333,202,78.792684,True,False,232
-374.107647,239,78.964553,True,False,233
-133.644518,413,79.266744,True,False,234
-478.702412,157,79.385086,True,False,235
-456.239943,183,79.516786,True,False,236
-349.06557,281,79.717879,True,False,237
-370.398853,147,79.82323,True,False,238
-385.658618,144,79.926794,True,False,239
-288.301306,274,81.035082,True,False,240
-450.206467,177,81.167519,True,False,241
-475.682255,277,81.367135,True,False,242
-355.475938,320,81.594681,True,False,243
-441.112868,272,81.788098,True,False,244
-306.113002,259,81.974893,True,False,245
-189.198854,342,82.220935,True,False,246
-281.343724,318,82.487909,True,False,247
-373.233481,154,83.612055,True,False,248
1318.18867,820,84.20238,True,False,249
-354.383026,256,84.388994,True,False,250
-340.198741,284,84.592274,True,False,251
-373.463541,205,84.74186,True,False,252
-420.089178,324,84.974049,True,False,253
-198.290157,351,86.212911,True,False,254
-394.796869,141,86.336916,True,False,255
-413.579399,233,86.512309,True,False,256
-347.097175,234,86.679407,True,False,257
10.928071,463,87.040303,True,False,258
254.769421,548,87.422184,True,False,259
-618.337659,172,88.466202,True,False,260
-498.68164,160,88.587857,True,False,261
789.207222,708,89.101029,True,False,262
-269.363502,323,89.339783,True,False,263
-380.081053,270,89.535712,True,False,264
-303.772456,282,89.736384,True,False,265
-312.478878,106,89.812602,True,False,266
-342.794033,113,89.894571,True,False,267
-210.19015,386,91.066072,True,False,268
-263.551306,334,91.310105,True,False,269
-344.524828,190,91.449931,True,False,270
-308.911018,112,91.529732,True,False,271
-169.069823,352,91.793694,True,False,272
-204.162087,371,92.064751,True,False,273
-169.295702,383,93.241988,True,False,274
-55.202933,496,93.59519,True,False,275
-396.895068,279,93.792058,True,False,276
-445.246676,319,94.021245,True,False,277
-370.433872,369,94.320541,True,False,278
-382.643871,180,94.452626,True,False,279
-394.432622,273,94.649539,True,False,280
-230.981002,342,95.78006,True,False,281
-363.329199,144,95.881362,True,False,282
-305.076573,311,96.109867,True,False,283
-370.218115,245,96.28632,True,False,284
-415.220513,199,96.430149,True,False,285
-367.677628,178,96.557307,True,False,286
-255.815571,320,96.786222,True,False,287
-389.899474,329,97.0225,True,False,288
-195.226073,384,98.240237,True,False,289
-334.310433,285,98.449461,True,False,290
-370.382398,148,98.555062,True,False,291
-370.878327,96,98.626056,True,False,292
-506.797764,158,98.738289,True,False,293
-203.832184,389,99.038198,True,False,294
-401.334078,166,99.157,True,False,295
-289.162902,346,99.41343,True,False,296
-425.619475,152,99.523432,True,False,297
-356.609047,107,100.543836,True,False,298
-414.890505,270,100.731763,True,False,299
-363.402673,199,101.297405,True,False,300
-426.296369,191,101.442359,True,False,301
-348.562694,137,101.544087,True,False,302
-415.901532,153,101.655259,True,False,303
-365.392906,111,101.736243,True,False,304
-376.602775,165,101.853958,True,False,305
-397.296451,181,101.983133,True,False,306
-227.314181,355,102.236547,True,False,307
-518.66428,183,102.364431,True,False,308
-152.411037,381,103.534841,True,False,309
-412.667856,257,103.714262,True,False,310
296.611179,602,104.138342,True,False,311
-179.941076,446,104.460941,True,False,312
-432.540588,207,104.608082,True,False,313
-447.08219,321,105.735164,True,False,314
-343.59389,320,105.961831,True,False,315
-355.731313,99,106.031093,True,False,316
-440.790045,114,106.113017,True,False,317
-452.156441,227,106.275687,True,False,318
-383.066557,164,106.397499,True,False,319
-407.807512,261,106.579887,True,False,320
-450.055086,158,106.692354,True,False,321
-37.844071,412,106.983216,True,False,322
-458.103108,211,108.035224,True,False,323
-385.905864,227,108.198782,True,False,324
-338.518231,120,108.287081,True,False,325
-309.135961,339,108.532906,True,False,326
-331.116625,355,108.780745,True,False,327
33.919859,436,109.093249,True,False,328
-385.35375,138,109.19236,True,False,329
-336.741342,99,109.263584,True,False,330
-354.874578,126,109.359935,True,False,331
-365.714054,111,109.441047,True,False,332
-298.837065,306,110.596605,True,False,333
-296.274429,358,110.859651,True,False,334
-543.789848,253,111.046815,True,False,335
-421.872863,340,111.312807,True,False,336
287.328218,602,111.744356,True,False,337
-322.40713,290,112.994561,True,False,338
1081.439847,808,113.584374,True,False,339
36.46247,467,113.916522,True,False,340
-427.402618,173,114.038339,True,False,341
-427.727721,166,114.159418,True,False,342
-65.015641,494,115.446749,True,False,343
-410.970822,427,115.74601,True,False,344
-376.933204,156,115.857965,True,False,345
-325.126668,110,115.93989,True,False,346
-371.92715,196,116.081169,True,False,347
-358.894875,133,116.177163,True,False,348
-120.693097,394,116.45454,True,False,349
-290.427988,272,116.647646,True,False,350
-208.172211,350,117.77681,True,False,351
-407.097639,157,117.887434,True,False,352
-122.996381,416,118.183299,True,False,353
-462.826069,203,118.337145,True,False,354
-430.236005,300,118.549271,True,False,355
-207.643144,362,118.801818,True,False,356
-229.361293,374,119.10871,True,False,357
-311.698468,143,120.11453,True,False,358
-331.457737,108,120.19214,True,False,359
-324.272546,87,120.255053,True,False,360
-490.261939,235,120.422485,True,False,361
-338.724227,233,120.591551,True,False,362
524.652985,623,121.047754,True,False,363
-465.144649,200,121.190882,True,False,364
1194.251736,778,122.662467,True,False,365
-424.06219,155,122.775923,True,False,366
-375.302879,196,122.917578,True,False,367
-337.320086,257,123.100769,True,False,368
-413.730358,175,123.227165,True,False,369
-364.056949,130,123.323123,True,False,370
