#{"t_start": 1749136034.8916173, "env_id": "None"}
r,l,t,terminated,truncated,episode_count
-332.524963,132,57.952485,True,False,167
-296.406452,304,58.173444,True,False,168
-69.490394,404,59.431136,True,False,169
-355.567401,304,59.652805,True,False,170
-370.232149,191,59.790814,True,False,171
-14.110771,435,60.10774,True,False,172
-315.832858,282,60.315209,True,False,173
-308.812818,91,60.382252,True,False,174
-614.824069,162,60.502815,True,False,175
-191.318305,378,61.741126,True,False,176
19.493334,439,62.070159,True,False,177
-336.893607,304,62.295171,True,False,178
-269.556751,185,62.430971,True,False,179
-380.385391,96,62.502675,True,False,180
-352.63087,131,62.600272,True,False,181
-410.938868,264,62.800256,True,False,182
-331.692762,91,62.867365,True,False,183
-376.89894,291,63.081202,True,False,184
-97.801187,374,64.305207,True,False,185
-268.542987,65,64.353681,True,False,186
-337.035348,100,64.428094,True,False,187
-191.77305,472,64.773931,True,False,188
-118.924,431,65.094853,True,False,189
-595.615627,199,65.240698,True,False,190
-300.316422,81,65.300434,True,False,191
-258.329672,327,65.541618,True,False,192
-272.903726,280,66.664345,True,False,193
-63.141509,398,66.957994,True,False,194
105.138242,437,67.305125,True,False,195
-66.736194,387,67.590944,True,False,196
-371.979205,197,67.739172,True,False,197
-382.09649,186,67.881918,True,False,198
-132.04304,365,69.101899,True,False,199
-476.996123,212,69.742059,True,False,200
15.805485,413,70.062079,True,False,201
-269.354504,471,70.426507,True,False,202
-376.130534,283,70.670321,True,False,203
167.271143,456,71.052135,True,False,204
-368.511616,111,71.131094,True,False,205
-287.776336,254,72.225327,True,False,206
-415.543922,162,72.34295,True,False,207
-311.535305,94,72.412578,True,False,208
-156.22844,357,72.689056,True,False,209
-121.527342,355,72.954787,True,False,210
-343.217599,79,73.013248,True,False,211
100.392898,504,73.383747,True,False,212
-282.593998,412,74.621767,True,False,213
-99.817599,377,74.897649,True,False,214
32.875086,450,75.22971,True,False,215
-375.917163,122,75.317694,True,False,216
-372.428232,120,75.405132,True,False,217
-360.69957,158,75.524031,True,False,218
-453.861408,345,75.781041,True,False,219
-35.34393,424,77.019105,True,False,220
-133.015124,359,77.278939,True,False,221
134.904084,451,77.650273,True,False,222
-474.166385,204,77.867599,True,False,223
-145.805517,338,78.1235,True,False,224
-410.821229,101,78.197493,True,False,225
147.837672,469,78.540764,True,False,226
-334.501485,255,79.656896,True,False,227
-287.301535,104,79.731739,True,False,228
27.882482,451,80.101557,True,False,229
191.220408,471,80.455003,True,False,230
28.99208,510,80.830109,True,False,231
67.396281,509,82.10511,True,False,232
-344.108953,123,82.191769,True,False,233
131.934494,432,82.506423,True,False,234
-264.217698,251,82.710513,True,False,235
-505.858307,256,82.930018,True,False,236
-205.473098,427,83.246287,True,False,237
-417.953331,301,83.47071,True,False,238
-486.42251,284,84.582519,True,False,239
-389.388524,303,84.80485,True,False,240
13.805018,442,85.13094,True,False,241
3.089448,403,85.427886,True,False,242
-237.243301,271,85.627916,True,False,243
-527.996633,191,85.769376,True,False,244
-361.157634,164,85.895551,True,False,245
-416.331537,138,86.927214,True,False,246
-308.027957,284,87.134031,True,False,247
-118.525972,342,87.385461,True,False,248
-57.605912,388,87.675293,True,False,249
-195.10008,448,88.006041,True,False,250
-152.09659,423,88.316354,True,False,251
-6.231854,378,89.538202,True,False,252
-181.322198,411,89.866774,True,False,253
-327.427151,255,90.051564,True,False,254
18.695462,383,90.362376,True,False,255
-310.059043,148,90.499563,True,False,256
-281.821093,297,90.720007,True,False,257
-475.961203,179,90.850684,True,False,258
-342.381448,150,91.88051,True,False,259
-423.808213,221,92.04035,True,False,260
-43.984841,396,92.328123,True,False,261
-67.257325,375,92.602477,True,False,262
-228.559962,327,92.843009,True,False,263
-12.426052,375,93.116604,True,False,264
-167.431303,316,94.249777,True,False,265
-115.683241,370,94.534499,True,False,266
106.115336,407,94.836963,True,False,267
-437.002938,245,95.014883,True,False,268
-141.37082,311,95.243888,True,False,269
-337.426965,189,95.382329,True,False,270
143.939989,413,95.683692,True,False,271
142.790886,459,96.936185,True,False,272
-344.623482,186,97.073951,True,False,273
-254.002142,293,97.2908,True,False,274
-385.788619,197,97.450154,True,False,275
-367.514116,190,97.58935,True,False,276
65.430344,380,97.875334,True,False,277
62.777535,419,99.067733,True,False,278
-213.897731,318,99.297201,True,False,279
-258.549284,72,99.3498,True,False,280
-306.736158,304,99.568586,True,False,281
-58.9561,372,99.83601,True,False,282
-222.531007,293,100.048257,True,False,283
-445.661454,210,100.200562,True,False,284
-337.241322,218,100.391165,True,False,285
-405.9128,224,101.485296,True,False,286
-461.373241,159,101.617991,True,False,287
-53.525684,380,101.901356,True,False,288
-305.465645,111,101.980354,True,False,289
-277.635281,127,102.073362,True,False,290
-150.025074,327,102.312031,True,False,291
-188.178488,309,102.533883,True,False,292
-195.745304,266,102.731899,True,False,293
12.929352,364,103.91833,True,False,294
-243.552451,282,104.125379,True,False,295
21.356065,378,104.400021,True,False,296
-53.256572,371,104.667986,True,False,297
-269.671063,170,104.792439,True,False,298
-53.44633,340,105.039019,True,False,299
-175.049001,288,106.261187,True,False,300
-37.493747,333,107.549859,True,False,301
-259.54382,193,107.730201,True,False,302
-210.688694,256,107.921352,True,False,303
-121.321073,324,108.164694,True,False,304
-268.857114,281,108.373818,True,False,305
-121.237677,339,108.625254,True,False,306
-280.558275,116,108.717024,True,False,307
-108.58118,328,108.959356,True,False,308
-283.8974,171,110.042197,True,False,309
-31.524737,347,110.332896,True,False,310
133.586695,401,110.624055,True,False,311
-208.22923,295,110.835901,True,False,312
-314.309276,133,110.932589,True,False,313
-304.65141,184,111.098862,True,False,314
-337.708767,148,111.208409,True,False,315
0.436456,358,111.472477,True,False,316
-276.551505,162,112.517158,True,False,317
-45.714036,327,112.776026,True,False,318
-291.76918,214,112.935361,True,False,319
-266.932919,207,113.086001,True,False,320
43.406615,364,113.392805,True,False,321
159.272446,397,113.700394,True,False,322
-272.832372,188,113.858579,True,False,323
-210.913298,253,114.06659,True,False,324
-192.186709,252,115.183739,True,False,325
178.20194,408,115.500112,True,False,326
-328.326351,229,115.701457,True,False,327
-207.077676,215,115.87055,True,False,328
184.93539,478,116.24607,True,False,329
-279.268422,252,116.456526,True,False,330
-268.884055,197,116.601779,True,False,331
-348.019283,200,117.687279,True,False,332
-93.950144,297,117.915457,True,False,333
-296.813033,200,118.064788,True,False,334
-81.485832,307,118.292405,True,False,335
-262.240514,274,118.528157,True,False,336
-274.11124,202,118.67969,True,False,337
-15.296378,354,118.979416,True,False,338
-301.615757,158,119.093862,True,False,339
-60.21121,336,120.250652,True,False,340
-268.761841,114,120.334998,True,False,341
-214.731114,202,120.482448,True,False,342
-104.120209,276,120.682241,True,False,343
-268.967926,133,120.778907,True,False,344
-282.341063,157,120.893915,True,False,345
-122.708407,305,121.115895,True,False,346
90.145718,365,121.381055,True,False,347
-291.96733,155,121.493921,True,False,348
-329.576396,172,122.568871,True,False,349
-183.812589,243,122.765406,True,False,350
-236.786436,197,122.906879,True,False,351
-230.377993,98,122.994893,True,False,352
-253.696979,160,123.122222,True,False,353
149.72609,376,123.400761,True,False,354
138.724513,383,123.685365,True,False,355
-309.769801,192,123.827374,True,False,356
-287.793122,177,123.960164,True,False,357
24.819129,342,125.183312,True,False,358
-46.763126,339,125.456959,True,False,359
-216.950606,271,125.659374,True,False,360
